,Date,Open,High,Low,Close,Volume,return,5_d_mean_return,21_d_mean_return,63_d_mean_return,21_d_cum_return,63_d_cum_return,rsi14,macd_histogram,10_d_volatility,21_d_volatility,63_d_volatility,21_d_std_volatility,atr_14_d,dist_from_high,rolling_max_drawdown_63,SMA_20,SMA_50,SMA_200,price_per_sma_200,(SMA20 − SMA50)per_Price,(SMA50 − SMA200)per_Price,trend_strength_sma50,p(calm),p(stress),target
0,2021-10-21 00:00:00-04:00,425.8419419107225,427.7837117980896,425.4083503502905,427.5574951171875,41305400,0.0026049222919264,0.0049506486905546,0.00168069878228,0.0005357762178925,0.0352946744278801,0.0337539017272297,73.81269602468318,2.1952942938743627,0.0065730178264852,0.0091468654913454,0.0070491422291539,0.0010752965684059,0.0108514992641598,0.0,-0.0511413588430826,414.1323822021485,417.2145526123047,391.6631594848633,1.0916459328968655,-0.0072087858249601,0.0597613032615371,0.0004950391871525,0.9663842251647157,0.03361577483528439,0
1,2021-10-22 00:00:00-04:00,427.1238151646005,428.57543902090026,425.1631751155016,427.1143798828125,58845100,-0.0010369248995788,0.0032258771992355,0.0010562357768734,0.0004803994680318,0.0221809513143423,0.0302651664860087,84.4787678591297,2.1242210915054622,0.006508483669456,0.0088442651658309,0.0070475506950618,0.0009796722955003,0.0101912387281326,-0.0010363874787262,-0.0511413588430826,414.56645050048826,417.3923547363281,392.0293267822266,1.089495990997826,-0.0066162704159368,0.0593822852816624,0.0004162869067348,0.98218494823125,0.01781505176875005,1
2,2021-10-25 00:00:00-04:00,428.2079275863371,429.7349478242848,426.4264135641018,429.405029296875,45214500,0.0053487518219364,0.0037044207516287,0.0012325610936822,0.0006378095215282,0.0258837829673279,0.0401819998562792,83.53746655549128,2.107268702427451,0.0053199510575071,0.0088933840292129,0.0070437193189815,0.0008624387494986,0.0096131819504863,0.0,-0.0511413588430826,415.1749069213867,417.6007476806641,392.3968659973145,1.094313096016964,-0.0056493068170383,0.0586948916844766,0.0004853062496198,0.9844526309913855,0.015547369008614611,1
3,2021-10-26 00:00:00-04:00,430.9602960997976,432.17623944578014,429.4144055056858,429.79144287109375,56075100,0.0008994766919756,0.002347275348344,0.0014118239553784,0.0006585952717359,0.0296483030629475,0.0414915021193634,82.82413280490722,1.9988000885876684,0.004907870457869,0.0088444653139069,0.0070425093661744,0.0007007101658328,0.0088776507684942,0.0,-0.0511413588430826,416.2230880737305,417.7971380615234,392.77833236694335,1.0942340945364877,-0.0036623576711485,0.0582115026010043,0.0004569434410964,0.9881781037819766,0.01182189621802347,0
4,2021-10-27 00:00:00-04:00,430.2533756233547,430.9226191594301,427.8119959153504,427.8874206542969,72438000,-0.0044399493228173,0.0006752553166884,0.0021698112450351,0.0005224238205863,0.0455660361457375,0.0329127006969385,75.18137960545201,1.6879310509798615,0.0057527010751822,0.0074590808338547,0.0070570542930123,0.0007391621679804,0.0083695806649905,-0.0044301073192095,-0.0511413588430826,417.1416595458985,418.0105078125,393.1499053955078,1.0883569213220163,-0.0020305534228442,0.0581008022600361,0.0004986586206491,0.99213232187891,0.007867678121090018,1
5,2021-10-28 00:00:00-04:00,429.3202090669471,432.0914787426204,429.3108025483984,432.0160827636719,51437900,0.0096026910434008,0.0020748090669833,0.0025469934792344,0.0007521209246023,0.0534868630639231,0.0473836182499468,80.15939677388565,1.6476423014874104,0.004301690144247,0.0076314472815812,0.0071140401413857,0.0007497673879176,0.0085638911231559,0.0,-0.0511413588430826,418.5169281005859,418.3977795410156,393.53736114501953,1.097776540216401,0.000275796583331,0.0575451224800712,0.000896428961714,0.9902526401581395,0.009747359841860549,1
6,2021-10-29 00:00:00-04:00,429.7065898490118,433.1848147434218,429.41438374816806,432.8926086425781,70162400,0.0020268640786997,0.002687566862639,0.0032291172781384,0.0008176317605403,0.0678114628409063,0.0515108009140445,88.76252922805239,1.567760990662613,0.0040696446107176,0.0068370796106703,0.0071063480776285,0.0008767875983766,0.0082914741993232,0.0,-0.0511413588430826,419.6956588745117,418.78980224609376,393.9354075622559,1.0988923573064846,0.0020925666327693,0.0574146894348088,0.000905588816375,0.9835031040643645,0.016496895935635348,1
7,2021-11-01 00:00:00-04:00,433.8823265151999,434.2593926199993,431.9028732955281,433.6372680664063,48433600,0.0017187165201176,0.0019615598022753,0.0027483834960188,0.0007163020472245,0.0577160534163954,0.0451270289751468,92.06991908143824,1.4552626862190037,0.0040884339166858,0.0065522472646577,0.0070460550583308,0.0010350842860703,0.008149916383667,0.0,-0.0511413588430826,421.1755477905273,419.1309478759766,394.3500587463379,1.099625214828076,0.0047150004511089,0.0571465853018975,0.0007867073589038,0.9909611871217197,0.009038812878280502,1
8,2021-11-02 00:00:00-04:00,433.80692885371445,435.7015795883174,433.6749499643309,435.3905029296875,48908400,0.0040349395047156,0.0025886523648233,0.0035586055330372,0.0008586183065239,0.074730716193781,0.0540929533110106,92.14498147338664,1.389266119383378,0.0037565630110825,0.005473276502452,0.0070206524896043,0.0012902465373754,0.0077583349069043,0.0,-0.0511413588430826,422.5328994750977,419.4338684082031,394.7597073364258,1.1029253868572635,0.0071178196263849,0.0566713350561118,0.0006957444643101,0.9719228060242436,0.028077193975755945,1
9,2021-11-03 00:00:00-04:00,434.8249443690879,438.4539899664902,434.381917575128,438.0486755371094,52509800,0.0060866992907908,0.0046939820875449,0.0033555381337767,0.0008550287162785,0.0704663008093109,0.0538668091255485,90.84543253608336,1.4104601841054425,0.0039090052273399,0.0052845161902731,0.0070178760829362,0.0014986679773384,0.0072255495165251,0.0,-0.0511413588430826,423.9383255004883,419.7766107177735,395.158189239502,1.1085400415973965,0.0095005761120313,0.0562001961268022,0.0007824297360335,0.9787933153368494,0.021206684663150375,1
10,2021-11-04 00:00:00-04:00,438.6519776741961,440.1978683644072,438.3032173703606,440.113037109375,52847100,0.0047015608747344,0.0037137560538116,0.0033819243208724,0.0009034470334646,0.071020410738322,0.0569171631082695,90.43030112244352,1.4440822625512366,0.0039601488703994,0.0052900484769724,0.0070339619328467,0.0016554675618522,0.0069652529465576,0.0,-0.0511413588430826,425.26976165771487,420.1429760742187,395.5653594970703,1.1126177420311614,0.0116487928127929,0.05584387306173,0.0008324346828067,0.9730969461507919,0.026903053849207926,1
11,2021-11-05 00:00:00-04:00,442.34697047164906,443.63833850613855,440.1224299556743,441.6400146484375,66390600,0.0034635072994002,0.0040010846979517,0.0031369297516084,0.0009713449229077,0.0658755247837778,0.0611947301431891,90.53937529444904,1.4461455051623275,0.003711681969642,0.0051532633686337,0.007037760034272,0.0017783542644291,0.0068588379817834,0.0,-0.0511413588430826,426.7152526855469,420.58967956542966,395.9865124511719,1.1152905484448667,0.0138700591362705,0.0557086457255076,0.0010114651670921,0.9733978490901606,0.02660215090983925,1
12,2021-11-08 00:00:00-05:00,442.7428551593152,443.24243609752784,441.3289435870791,442.01702880859375,50405200,0.0008533043126268,0.0038280022564536,0.003264491030661,0.0009651557958839,0.0685543116438821,0.0608048151406882,89.29936890610391,1.351636087832441,0.0037141741531444,0.0050565312555708,0.0070376885355675,0.0018761958283412,0.0066260327762714,0.0,-0.0511413588430826,428.3289932250976,420.96894470214846,396.40250274658206,1.115071236296338,0.0166510519804798,0.0555780441802942,0.0008580328629896,0.9531708714909239,0.04682912850907633,0
13,2021-11-09 00:00:00-05:00,442.3846610297126,442.6203129591669,439.142088179134,440.5559997558594,51149100,-0.003310843046545,0.0023588457462014,0.0034528256946257,0.0008732100610993,0.0725093395871401,0.0550122338492585,82.47276864408565,1.0811708621059957,0.004175479457521,0.0047062288079601,0.0070553723020801,0.0019707654887125,0.0068925236139574,-0.0033053682494369,-0.0511413588430826,429.9201110839844,421.2817797851562,396.81398849487306,1.1102330374664993,0.0196077940230417,0.0555384362120646,0.0007100915279354,0.8738900483343162,0.12610995166568373,0
14,2021-11-10 00:00:00-05:00,438.8593747730552,440.5560862579335,435.52256350840406,437.0118713378906,69429700,-0.0080772047457494,-0.0004739350611065,0.0031855550955391,0.000697500503375,0.0668966570063211,0.0439425317126284,69.56701333053745,0.579195436479873,0.0049341451634987,0.0051932566039364,0.0071390868100644,0.0020030355862215,0.0073828916503336,-0.0113234494250005,-0.0511413588430826,431.2605026245117,421.5363232421875,397.2515336608887,1.1000885693519893,0.0222515222585467,0.0555700912813926,0.0005824634837767,0.7042047762973522,0.29579522370264755,1
15,2021-11-11 00:00:00-05:00,438.5104945172473,438.5859192378718,437.1342954099264,437.1531372070313,34848500,0.0003232018417335,-0.0013496068677067,0.0030299460177007,0.0006737703242027,0.0636288663717151,0.0424475304247728,71.03933482571155,0.1923014340322719,0.0041840154747133,0.0052293329970427,0.0071377860920288,0.0020098841522746,0.0070801508426263,-0.0110038556991176,-0.0511413588430826,432.26296081542966,421.7891827392578,397.6747563171386,1.0992730372314838,0.0239590596171601,0.0551624233470817,0.0005784231555235,0.7108137037306793,0.28918629626932035,1
16,2021-11-12 00:00:00-05:00,438.4257305483091,441.0084666869661,437.4736874755457,440.4523315429688,53466700,0.0075186629879534,-0.0005385757299961,0.0025936522717222,0.0007557835567384,0.0544666977061678,0.0476143640745201,72.21397205196871,0.0989131844430959,0.0046425156867937,0.0043400632275818,0.0071868925528655,0.0020081077911067,0.0071157914936776,-0.0035399026816737,-0.0511413588430826,433.271549987793,422.0819030761719,398.1497599792481,1.10624788915087,0.0254048988057847,0.0543353761191047,0.0006645902767472,0.908983172265184,0.09101682773481566,1
17,2021-11-15 00:00:00-05:00,441.74375614047045,441.90398336577135,439.4720677725637,440.6031799316406,46980500,0.0003424265285927,-0.0006407512868029,0.0022486757941782,0.0008656118754909,0.0472221916777438,0.0545335481559317,71.9482231603102,-0.0067613054451349,0.0046632825300327,0.004209269304499,0.0071256387440609,0.0019619188717808,0.0070583503942016,-0.0031986298825726,-0.0511413588430826,434.225471496582,422.3797082519531,398.5967668151856,1.1053857346914504,0.0268853330710567,0.0539781429640554,0.0006759033737055,0.9441737498863678,0.05582625011363241,1
18,2021-11-16 00:00:00-05:00,440.33925603652415,443.4875628369249,440.2638600648137,442.3470153808594,48857500,0.003950025099613,0.0008114223424286,0.0022960087008279,0.0011029976375976,0.0482161827173863,0.069488851168651,79.54566429292993,-0.0129208182715023,0.0046584179425758,0.004223186870207,0.0069712294817809,0.0018899986088876,0.0070487843920852,0.0,-0.0511413588430826,435.1039855957032,422.74283508300783,399.0276625061035,1.1085622801253616,0.0279444646010607,0.0536121455606196,0.0008209094182359,0.9718218747716397,0.028178125228360246,0
19,2021-11-17 00:00:00-05:00,442.0830593222482,442.2621571059914,440.6503058184097,441.2724304199219,47858300,-0.0024322359490709,0.0019404161017643,0.001814225859996,0.0010398309527876,0.0380987430599168,0.0655093500256218,71.61099188604553,-0.1362189366341848,0.0045206398979544,0.004154182306022,0.0069851543511598,0.0018432139405454,0.0066600861781205,-0.0024292804598495,-0.0511413588430826,435.8453475952148,423.0948046875,399.4517846679688,1.104695103031559,0.028894945681472,0.053579191423838,0.0007976242797612,0.9780982680784226,0.02190173192157761,1
20,2021-11-18 00:00:00-05:00,442.3092818090162,443.0351082367169,439.57572489933375,442.7711791992188,50625600,0.0033906703218502,0.0025539097977877,0.001789012502205,0.0009678511639721,0.0375692625463061,0.0609746233302469,72.41252771265525,-0.1619391544542896,0.0044104445365954,0.0041423515048262,0.0069362496353393,0.0017610596434877,0.0065873635453249,0.0,-0.0511413588430826,436.6060317993164,423.51301818847656,399.86314453125,1.10730680047612,0.0295706094387611,0.0534133086530134,0.0009445364120874,0.9891908210682984,0.010809178931701786,0
21,2021-11-19 00:00:00-05:00,442.6580200946424,443.9117045350223,441.6117392799599,441.9793701171875,57315600,-0.0017899040447953,0.0006921963912379,0.0015797350575992,0.0008004218832117,0.0331744362095845,0.0504265786423403,68.88617746874343,-0.2709600977528357,0.0043441266654548,0.0042095410476138,0.0068721823672704,0.0016504722423089,0.0065900251127532,-0.0017883031218592,-0.0511413588430826,437.3492813110352,423.9819171142578,400.2634510803223,1.1042211546526988,0.0302443170441033,0.053664192579049,0.0010609068148519,0.9925416257799494,0.007458374220050214,0
22,2021-11-22 00:00:00-05:00,443.8646027534461,446.3625076815008,440.5277630718727,440.7351379394531,72762000,-0.0028191062691461,5.988983169017909e-05,0.001494869278096,0.0007304977822484,0.0313922548400171,0.0460213602816514,62.38548589904796,-0.4547322761343384,0.004425653228247,0.0042822678927535,0.0068864556808276,0.00152470300154,0.007219691655152,-0.0045984051253018,-0.0511413588430826,437.91578674316406,424.4045111083984,400.6444676208496,1.100065453434748,0.0306562251830753,0.0539100276838215,0.000958838898383,0.9939257754139912,0.00607422458600902,1
23,2021-11-23 00:00:00-05:00,440.4052188410492,442.1773261131567,437.79420558269936,441.3195495605469,73206500,0.0013251144512717,-0.000465092297978,0.0013032674985405,0.0007182594950988,0.0273686174693524,0.0452503481912265,58.38580656468291,-0.5579872371978141,0.0043155473957698,0.0041902376786118,0.0068846744781379,0.0013488381543068,0.0072604749210078,-0.003278509774049,-0.0511413588430826,438.49219207763673,424.8840789794922,401.0296195983887,1.1004662199328483,0.0308350561666599,0.0540525780125922,0.0010866680879451,0.9972964074766085,0.0027035925233918983,1
24,2021-11-24 00:00:00-05:00,439.3117535073813,442.6203158234828,438.4916893901504,442.4977722167969,61858800,0.002666214669452,0.0005545978257265,0.0013873978784204,0.0008545592464976,0.0291353554468291,0.0538372325293547,56.40496443553398,-0.566195371848818,0.0032355685244612,0.0041994510218789,0.0068359472103116,0.0011072898806543,0.0075606654914693,-0.0006174904674607,-0.0511413588430826,439.2227096557617,425.3174938964844,401.421456451416,1.102327155425366,0.0314243746123644,0.0540026163868702,0.0009794736701631,0.9985570615854934,0.001442938414506705,0
25,2021-11-26 00:00:00-05:00,435.8051840083933,437.2756495282718,431.4974604745736,432.6286010742188,112669600,-0.022555804198684,-0.0046346970783803,0.0005247381224267,0.0003552434004512,0.0110195005709623,0.0223803342284296,33.286505406531305,-1.2181281028187056,0.008216639781467,0.0066196635452931,0.0073669513433591,0.0010317385358625,0.0089672918924193,-0.0229070422861387,-0.0511413588430826,439.2533355712891,425.5668682861328,401.7610069274903,1.0768307367178107,0.0316356044218359,0.0550260923561977,0.0005764167903583,0.9944796475836485,0.005520352416351459,1
